,info,spend_time
2018-07-01 15:09:05.252435,wo,0 days 00:00:00.000054000
2018-07-01 15:13:46.106554,统计三国2字词词频,0 days 00:01:56.464877000
2018-07-01 15:15:43.873621,wo,0 days 00:00:00.000043000
2018-07-01 15:24:12.471452,统计三国2字词词频,0 days 00:04:59.019281000
2018-07-01 15:34:13.126849,rao_3,0 days 00:01:35.135951000
2018-07-01 15:36:05.413422,用100行切3字三国,0 days 00:00:13.844743000
2018-07-01 15:40:59.580273,用100行切3字三国,0 days 00:00:13.819835000
2018-07-01 15:42:53.049382,用500行切3字三国,0 days 00:00:08.726483000
2018-07-01 15:44:45.218225,用1000行切3字三国,0 days 00:00:07.689248000
2018-07-01 15:45:31.520185,用1000行切4字三国,0 days 00:00:08.151392000
2018-07-01 15:46:28.443018,用1500行切4字三国,0 days 00:00:10.009576000
2018-07-01 15:48:14.872779,用1000行切4字三国,0 days 00:00:08.870763000
2018-07-01 15:49:03.727209,用2000行切4字三国,0 days 00:00:09.323405000
2018-07-01 15:50:22.352941,用1000行切5字三国,0 days 00:00:10.151021000
2018-07-01 15:51:01.990888,用1500行切5字三国,0 days 00:00:09.933811000
2018-07-01 15:53:20.104111,用2000行切5字三国,0 days 00:00:08.681795000
2018-07-01 15:53:47.875971,用2000行切6字三国,0 days 00:00:09.595455000
2018-07-01 15:58:08.163007,用1000行切2字三国,0 days 00:00:03.895825000
2018-07-01 15:58:41.194221,用1500行切2字三国,0 days 00:00:04.266144000
2018-07-04 19:40:12.138560,测试统计所有字数词频,0 days 00:00:00.001315000
2018-07-04 19:40:29.201474,测试统计所有字数词频,0 days 00:00:00.000364000
2018-07-04 19:40:42.007146,测试统计所有字数词频,0 days 00:00:00.000336000
2018-07-04 19:45:19.451354,测试统计所有字数的词的词频，水浒，1500,0 days 00:01:06.079924000
2018-07-04 20:40:57.173174,测试统计所有字数的词的词频，水浒，2000,0 days 00:01:02.802951000
2018-07-04 20:53:46.869313,测试统计所有字数的词的词频，三国，2000,0 days 00:00:34.713419000
2018-07-04 20:57:01.753820,测试统计所有字数的词的词频，水浒，2000,0 days 00:00:34.621029000
2018-07-05 14:31:22.409381,测试统计所有字数的词的词频，三国，2000,0 days 00:00:34.081590000
2018-07-05 15:02:42.797384,测试统计所有字数的词的词频，三国，2000,0 days 00:00:34.244838000
2018-07-07 11:17:32.776207,测试，两张三国2字词表相加（没有写入外存）,0 days 00:00:00.333959000
2018-07-07 11:45:25.565364,测试，两张三国2字词表相加（没有写入外存）,0 days 00:00:00.356543000
2018-07-07 15:17:11.663215,测试，两个二字词表求交集1,0 days 00:00:00.193339000
2018-07-07 15:18:01.304634,测试，两个二字词表求交集1,0 days 00:00:00.191947000
2018-07-07 15:43:02.040301,测试，两个二字词表求交集,0 days 00:00:00.193311000
2018-07-07 15:43:38.022583,测试，两个二字词表求交集1,0 days 00:00:00.169813000
2018-07-07 16:00:08.120969,测试，两个二字词表求交集1,0 days 00:00:00.183382000
2018-07-07 16:00:23.004093,测试，两个二字词表求交集1,0 days 00:00:00.177352000
2018-07-07 16:03:27.405647,测试，两个二字词表求交集1,0 days 00:00:00.183508000
2018-07-07 16:04:26.037045,测试统计所有字数的词的词频，三国，2000,0 days 00:00:58.625135000
2018-07-07 16:13:39.122208,测试，三国和水浒2字词求交集,0 days 00:00:00.162921000
2018-07-07 16:20:28.840628,测试统计所有字数的词的词频，水浒，2000,0 days 00:03:12.795494000
2018-07-07 16:22:05.620157,测试，三国和水浒2字词求交集,0 days 00:00:00.666633000
2018-07-07 16:22:34.137793,测试，三国和水浒2字词求交集方法concat,0 days 00:00:00.724387000
2018-07-08 16:24:08.556809,测试，将三国2字词和3字词加起来,0 days 00:00:01.934138000
2018-07-08 18:18:53.432524,测试，三国和水浒2字词求交集方法concat,0 days 00:00:01.864427000
2018-07-08 18:19:27.932183,测试，三国和水浒2字词求交集方法concat,0 days 00:00:01.841457000
2018-07-08 18:20:59.916340,测试，三国和水浒2字词求交集方法concat,0 days 00:00:01.818987000
2018-07-08 18:27:39.521957,测试，三国和水浒2字词求交集方法concat,0 days 00:00:01.869660000
2018-07-08 18:55:55.034143,测试，三国和水浒2字词求交集方法concat,0 days 00:00:02.134835000
2018-07-08 18:56:43.802246,测试，三国和水浒2字词求交集方法concat,0 days 00:00:01.905111000
2018-07-08 18:57:30.498883,测试，三国和水浒2字词求交集方法concat,0 days 00:00:01.844963000
2018-07-08 19:00:05.429848,测试统计2字词的词频，三国，2000,0 days 00:00:01.292813000
2018-07-08 19:10:12.802487,测试统计2字词的词频，三国，2000,0 days 00:00:04.557640000
2018-07-08 19:11:17.681581,测试统计2字词的词频，三国，2000,0 days 00:00:02.039161000
2018-07-08 19:12:11.315463,测试统计2字词的词频，三国，2000,0 days 00:00:02.050540000
2018-07-08 19:22:31.689116,测试统计2字词的词频，三国，2000,0 days 00:00:02.005351000
2018-07-08 19:24:40.622647,测试统计2字词的词频，三国，2000,0 days 00:00:02.377764000
2018-07-08 19:47:04.045800,测试统计所有字数词的词频，三国，2000,0 days 00:00:24.196181000
2018-07-08 19:49:24.683599,测试统计所有字数词的词频，水浒，2000,0 days 00:00:51.955379000
2018-07-08 19:53:48.119144,测试统计所有字数词的词频，红楼梦，2000,0 days 00:00:32.636080000
2018-07-08 20:47:49.806721,测试统计所有字数词的词频，水浒，2000,0 days 00:00:46.217327000
