word_segment,times
一一,86
一万,15
一丈,2
一三,1
一上,6
一下,44
一不,4
一与,1
一且,1
一世,13
一丛,4
一东,1
一丝,4
一两,74
一个,1518
一串,9
一丸,8
一为,2
一主,1
一举,4
一乍,2
一乐,5
一乘,10
一九,1
一也,2
一书,2
一乱,1
一了,1
一事,38
一二,60
一五,8
一些,15
一交,5
一亩,1
一享,1
一亲,1
一人,92
一今,1
一从,3
一付,3
一代,4
一令,2
一仰,4
一件,227
一任,4
一休,1
一众,1
一伙,6
一会,163
一传,2
一伤,2
一伸,6
一似,5
一位,69
一低,2
一体,1
一你,1
一佳,1
一使,1
一例,3
一侍,1
一信,1
一倍,5
一倒,1
一偈,4
一停,1
一傍,15
一僧,5
一先,3
一光,1
一党,1
一兜,1
一入,6
一全,1
一共,17
一关,2
一其,1
一养,1
一冬,1
一冲,3
一冷,4
一净,2
一准,3
一凑,2
一几,2
一出,30
一刀,2
一分,39
一切,10
一划,1
一则,58
一别,5
一到,16
一刺,2
一刻,13
一剂,9
一剑,1
一副,32
一力,1
一劝,1
一办,4
一动,23
一努,2
一势,1
一勾,4
一包,22
一化,1
一匣,1
一匹,8
一匾,6
一十,19
一千,22
一升,1
一半,66
一卖,1
一卦,2
一却,1
一卷,6
一厅,1
一去,23
一又,2
一双,22
一发,40
一受,1
一变,2
一叙,2
一叠,14
一口,119
一古,2
一句,255
一只,25
一叫,3
一台,2
一右,1
一司,1
一吃,6
一合,1
一吊,14
一同,34
一名,14
一后,1
一向,18
一吓,4
一听,23
一吵,2
一吹,5
一呆,6
一告,2
一味,32
一命,1
一咏,1
一咽,3
一品,1
一响,7
一哭,3
一唱,1
一商,1
一啼,1
一喊,2
一喜,3
一嘟,3
一嘱,1
一嘴,2
一嚷,3
一囊,1
一回,371
一因,1
一团,6
一围,1
一圈,1
一土,1
一地,10
一场,92
一坐,28
一块,91
一坛,9
一垂,1
一埋,1
一城,1
一堂,2
一堆,5
一堵,3
一墙,1
一壁,12
一声,271
一壳,2
一壶,7
一处,186
一夏,1
一夕,2
一外,1
一多,1
一夜,101
一大,50
一天,128
一太,3
一头,47
一夹,1
一奏,3
一套,22
一女,9
一如,1
一妥,1
一姓,2
一娘,1
一娶,1
一婆,1
一婢,1
一媳,1
一嫁,2
一子,11
一字,19
一孙,1
一孝,1
一季,1
一宅,1
一安,2
一宗,10
一官,1
一定,71
一宝,3
一客,2
一室,1
一害,1
一宵,1
一家,57
一宽,1
一宿,23
一寸,6
一对,33
一寻,1
一封,13
一射,2
一将,1
一尊,1
一小,15
一少,1
一尘,1
一尝,7
一尺,3
一尽,3
一尾,1
一局,2
一屁,1
一层,40
一屉,1
一屋,6
一展,1
一山,4
一岁,5
一州,1
一巡,4
一左,1
一差,1
一巴,2
一帆,1
一带,34
一席,28
一幅,10
一幌,1
一幕,1
一干,40
一平,1
一年,111
一并,36
一庄,1
一床,5
一应,51
一座,18
一庭,2
一庶,1
一开,6
一张,80
一弯,2
一律,3
一得,2
一心,42
一忙,1
一念,5
一怒,1
一急,3
一总,2
一息,4
一恶,1
一恼,1
一悟,1
一悲,1
一情,1
一惊,19
一惟,1
一想,115
一意,3
一戈,1
一戏,2
一我,1
一戒,1
一或,1
一战,2
一房,8
一所,22
一扇,3
一手,31
一扎,1
一扑,2
一打,3
一扫,1
一扬,5
一扭,7
一扯,1
一找,6
一技,2
一抄,2
一把,67
一抖,2
一折,1
一抢,1
一报,1
一抬,4
一抹,2
一抿,1
一担,3
一拉,4
一拌,1
一拍,8
一拖,1
一拚,1
一招,4
一拜,3
一拟,1
一拢,1
一拥,1
一拧,1
一拨,1
一拳,3
一拿,2
一挂,1
一指,7
一按,2
一挑,1
一挤,2
一挥,4
一挨,1
一挪,1
一挽,3
一捆,1
一捞,1
一损,1
一捶,1
一捻,1
一掀,1
一掂,1
一掌,3
一排,1
一掖,1
一掠,1
一探,2
一掣,1
一接,2
一推,10
一掷,8
一揉,1
一提,7
一揭,1
一搅,1
一搜,5
一搭,3
一摆,1
一摇,5
一摔,5
一摸,12
一撂,6
一撇,2
一撒,6
一撞,3
一撩,2
一操,1
一攒,1
一支,18
一收,2
一改,4
一放,3
一故,1
一救,1
一教,1
一散,6
一数,3
一文,4
一斗,3
一料,5
一斝,1
一斤,6
一断,1
一新,5
一方,7
一族,3
一无,15
一日,226
一旦,6
一早,69
一时,446
一明,2
一春,1
一是,3
一昼,1
一晃,1
一晕,1
一晚,2
一景,1
一智,1
一暖,2
一暗,1
一曲,2
一更,1
一月,32
一有,2
一望,11
一朝,6
一木,1
一末,1
一本,28
一朵,3
一杌,1
一李,1
一束,1
一条,53
一来,18
一杯,71
一松,1
一极,1
一林,1
一果,2
一枝,35
一架,8
一柄,5
一查,9
一株,8
一样,172
一根,32
一格,1
一栽,2
一案,5
一桌,20
一档,1
一桩,5
一桶,1
一梗,1
一梦,8
一梳,2
一棍,2
一棒,2
一棵,5
一椅,2
一概,76
一榻,1
一槅,2
一模,3
一横,2
一次,35
一款,3
一歇,12
一歌,1
一正,1
一步,41
一歪,5
一死,17
一段,29
一母,4
一比,4
一毡,1
一毫,2
一气,20
一水,2
一求,2
一江,1
一池,2
一汪,1
一没,1
一治,1
一沾,1
一法,1
一注,2
一泻,1
一洗,4
一洞,1
一洼,1
一派,6
一流,5
一海,2
一消,1
一涌,1
一润,1
一淫,1
一混,2
一添,1
一清,2
一渥,1
一游,3
一湖,1
一湾,1
一源,1
一溜,23
一滑,1
一满,1
一滩,1
一滴,1
一漱,2
一激,3
一火,1
一炉,3
一炬,1
一炮,1
一炷,4
一炸,1
一点,150
一烦,1
一烧,1
一热,1
一煞,2
一照,12
一熟,1
一熨,2
一父,2
一爻,1
一片,32
一牛,1
一物,4
一犟,1
一状,1
一猜,4
一玉,1
一班,22
一理,10
一瓢,1
一瓮,2
一瓶,7
一甜,1
一生,27
一用,4
一甩,1
一田,1
一男,5
一画,3
一畅,1
一留,2
一略,1
一畦,1
一番,83
一疋,1
一疼,1
一疾,2
一病,10
一痕,2
一痛,1
一白,1
一百,74
一的,34
一皆,1
一皱,5
一盆,14
一盏,14
一盐,1
一盒,5
一盖,2
一盘,6
一目,1
一直,29
一相,1
一省,3
一看,128
一真,1
一眼,16
一着,5
一睁,2
一睡,1
一瞧,67
一瞪,2
一知,2
一短,4
一矮,1
一石,5
一碗,42
一碟,9
一碣,1
一碰,2
一磊,1
一社,10
一神,1
一祭,5
一福,1
一秉,1
一种,37
一称,1
一程,7
一空,2
一窍,1
一窝,2
一窟,1
一立,1
一站,4
一章,3
一竿,2
一笑,74
一笔,6
一第,2
一等,31
一答,5
一筹,1
一签,3
一算,7
一管,3
一箭,3
一箱,7
一篇,22
一篓,2
一篙,1
一篦,1
一簇,5
一簸,1
一类,1
一精,1
一紫,1
一繁,1
一红,9
一纸,3
一线,3
