word_segment,times
一一,23
一万,51
一丈,3
一上,3
一不,4
一且,1
一世,2
一两,2
一个,59
一中,1
一临,1
一主,1
一举,11
一义,2
一乌,1
一乖,1
一乘,4
一九,1
一也,7
一书,18
一事,10
一二,8
一云,1
一交,1
一亭,2
一人,322
一介,3
一以,1
一件,5
一任,1
一优,1
一伙,4
一会,5
一伤,2
一似,1
一位,1
一住,1
一体,7
一何,1
一使,1
一修,1
一俱,1
一倒,1
一偏,1
一停,4
一僧,1
一儒,2
一先,3
一克,1
一兔,1
一党,1
一入,3
一关,2
一兴,1
一冈,1
一军,198
一决,5
一冷,2
一凤,3
一凶,1
一出,2
一击,4
一刀,53
一分,7
一切,7
一刘,1
一则,1
一别,1
一到,1
一剑,6
一副,4
一功,5
一动,1
一助,1
一劫,2
一勇,8
一勺,1
一包,1
一匹,15
一区,1
一医,1
一十,10
一千,63
一升,2
一半,31
一卒,2
一卣,1
一卦,2
一卧,1
一危,1
一卷,2
一去,3
一县,4
一双,1
一发,5
一变,3
一叙,1
一口,15
一古,3
一句,1
一只,15
一可,6
一台,2
一叶,6
一号,1
一合,28
一同,33
一名,18
一后,1
一吏,1
一吐,1
一向,8
一听,2
一告,2
一呋,1
一员,31
一味,1
一呼,1
一命,3
一哨,1
一哭,1
一唯,1
一喝,1
一四,1
一回,16
一团,3
一困,1
一囷,1
一国,6
一图,4
一场,17
一坑,1
一块,2
一坛,3
一城,10
一堆,1
一境,3
一壁,1
一声,152
一壶,1
一处,40
一夕,1
一夜,16
一夥,2
一大,31
一天,3
一夫,2
一失,13
一头,2
一奇,1
一女,12
一如,1
一妇,8
一妹,5
一妾,2
一姓,1
一姜,1
一婢,3
一子,11
一字,11
一季,1
一孤,1
一宅,2
一宗,1
一官,2
一客,1
一室,1
一宦,1
一宫,1
一宴,3
一宵,6
一家,14
一宿,4
一密,3
一寨,6
一寸,8
一对,1
一寿,1
一封,28
一射,1
一将,84
一小,19
一少,8
一尺,5
一层,3
一屯,8
一山,8
一岁,3
一岭,1
一川,1
一州,16
一巫,1
一己,3
一帆,2
一师,1
一帖,1
一帝,2
一带,26
一席,5
一幅,3
一干,6
一年,13
一并,1
一庄,2
一应,17
一府,1
一度,1
一座,10
一异,1
一弓,2
一弟,1
一张,1
一弩,6
一当,1
一彤,1
一彪,94
一往,6
一得,2
一心,8
一忌,1
一快,1
一念,1
一怒,1
一惊,12
一意,2
一愿,2
一成,1
一战,16
一戟,12
一所,4
一手,19
一才,1
一扫,2
一扯,1
一把,14
一抚,2
一拂,1
一拍,1
一拖,1
一招,11
一拥,16
一拳,2
一指,5
一挥,1
一换,1
一排,2
一探,1
一提,2
一摆,1
一摇,2
一操,1
一文,1
一斛,1
一斧,1
一断,1
一新,2
一方,13
一旅,6
一无,2
一日,104
一旦,18
一时,40
一易,1
一星,5
一是,7
一昼,1
一智,1
一曰,2
一曲,1
一更,2
一曹,1
一月,33
一有,3
一服,2
一望,6
一朝,10
一木,3
一未,2
一本,2
一机,1
一杆,2
一村,2
一束,2
一条,27
一来,3
一杯,5
一枝,42
一枪,39
一标,1
一栋,1
一树,1
一校,1
一株,2
一样,4
一桃,1
一桥,1
一梦,9
一棒,3
一棺,2
一楼,1
一槊,1
一樽,2
一次,1
一步,1
一武,4
一死,39
一段,3
一殿,1
一毛,1
一气,2
一水,1
一江,4
一池,1
一河,2
一泄,1
一泉,7
一法,3
一洗,1
一洞,4
一活,1
一派,5
一消,1
一淹,1
一渔,1
一渡,1
一溪,1
一潭,2
一火,2
一炮,1
一点,2
一烽,1
一父,1
一片,9
一牛,2
一牧,1
一物,8
一狱,2
一猛,1
一猪,3
一獐,1
一玉,1
一王,1
一班,23
一瓶,1
一生,5
一甥,2
一用,1
一男,2
一画,1
一番,5
一痒,1
一痛,1
一瘤,1
一白,3
一百,61
一皇,1
一盏,3
一盒,2
一盘,3
一目,3
一直,2
一相,1
一看,2
一着,1
一睹,1
一矛,5
一短,1
一石,3
一破,2
一碑,1
一祖,1
一神,2
一祠,1
一祢,1
一种,1
一程,10
一穴,1
一空,3
一童,4
一端,1
一竹,1
一笑,3
一等,1
一策,4
一筹,1
一简,1
一箭,46
一篇,8
一簇,15
一粗,1
一粟,1
一精,1
一红,2
一纪,1
一纱,1
一纵,1
一纸,4
一给,1
一绝,1
一统,7
一缄,2
一美,1
一群,5
一羽,1
一老,12
一者,9
一耕,2
一联,2
一肉,1
一肚,1
一股,3
一肩,1
一能,6
一脚,1
一臂,7
一至,2
一舌,5
一般,16
一船,1
一良,1
一色,1
一节,1
一草,1
一荒,1
一获,1
一营,5
一葫,1
一虎,2
一蜀,1
一血,1
一行,22
一街,1
一表,3
一裹,2
一要,2
一见,10
一观,2
一视,1
一览,4
一角,4
一觞,2
一解,1
