word_segment,times
一一,37
一万,80
一丈,92
一上,4
一下,20
一不,11
一世,18
一丘,1
一丛,5
一丝,7
一丢,6
一两,27
一个,1425
一中,1
一串,6
一为,1
一主,2
一举,1
一之,1
一乐,1
一乘,9
一乡,2
一书,4
一了,3
一事,70
一二,44
一五,5
一些,7
一交,28
一亮,1
一亲,1
一人,67
一仆,2
一从,1
一付,5
一代,10
一令,1
一件,56
一任,1
一伏,2
一伙,50
一会,15
一似,16
一但,1
一位,20
一低,1
一住,11
一体,1
一佛,3
一你,1
一使,1
一例,1
一依,1
一侧,3
一便,3
一保,2
一修,1
一俺,1
一倒,4
一借,1
一倨,1
一倾,2
一停,1
一像,1
一僧,4
一儿,1
一兜,3
一入,2
一全,1
一关,10
一具,7
一册,1
一军,1
一冬,2
一冲,5
一决,1
一冷,2
一准,1
一凤,1
一出,1
一刀,83
一刃,1
一分,23
一切,7
一划,1
一则,3
一别,7
一到,6
一刺,3
一剁,1
一削,1
一剐,4
一剑,6
一剜,3
一剪,5
一副,35
一割,1
一劈,2
一力,27
一劝,2
一功,1
一努,2
一勇,3
一勒,4
一勾,1
一包,21
一匹,66
一匾,1
一十,66
一千,92
一升,1
一半,48
一博,4
一卜,1
一卧,3
一卷,2
一去,9
一又,1
一叉,2
一双,47
一发,99
一变,1
一叙,1
一口,79
一句,29
一只,84
一台,1
一叶,3
一号,1
一合,4
一同,112
一名,6
一向,32
一吓,4
一听,3
一吹,6
一呆,1
一告,4
一员,130
一周,11
一味,5
一呷,1
一命,9
一咂,1
一哄,9
一响,1
一哭,1
一喜,1
一回,124
一因,1
一团,29
一国,2
一圈,1
一在,1
一地,11
一场,35
一坐,21
一块,52
一垛,1
一城,2
一堂,2
一堆,17
一堵,4
一境,4
一壁,11
一声,278
一壶,14
一处,138
一备,2
一夕,2
一夜,61
一夥,10
一大,32
一天,12
一夫,1
一失,6
一头,85
一夹,1
一夺,2
一奉,1
一套,18
一好,1
一姓,1
一子,2
一字,29
一安,1
一宋,1
一宗,1
一官,2
一定,28
一审,1
一客,1
一室,1
一害,3
一宵,25
一家,51
一宿,10
一寸,1
一对,24
一封,47
一将,20
一尊,6
一小,9
一尝,1
一就,3
一尺,5
一尽,1
一尾,7
一层,5
一屈,1
一展,1
一山,3
一巡,2
一差,1
一己,1
一市,1
一帆,2
一帕,3
一帖,1
一带,39
一席,20
一幅,3
一干,32
一年,17
一并,10
一床,4
一应,69
一府,3
一座,69
一开,1
一异,2
一弓,1
一引,5
一张,37
一弩,4
一弯,1
一彪,55
一影,2
一往,13
一待,1
一徊,1
一德,1
一心,11
一念,2
一怒,1
一怪,2
一总,3
一恼,1
一惊,100
一惟,1
一惯,1
一想,2
一戎,1
一我,2
一戒,3
一战,5
一戟,6
一戮,2
一戳,2
一户,1
一房,1
一所,25
一扇,3
一手,25
一才,1
一扑,7
一打,4
一托,1
一扫,1
一扭,1
一扮,1
一扯,4
一扳,2
一扶,1
一把,129
一抖,3
一抢,1
一护,1
一报,1
一抱,1
一拂,3
一拄,1
一担,26
一拆,1
一拍,8
一拔,1
一拖,4
一拘,1
一招,20
一拜,1
一拥,13
一拦,2
一拨,9
一拳,26
一拽,5
一拿,1
一指,22
一按,7
一挑,1
一挟,2
一挠,5
一挥,3
一挨,2
一捆,1
一捉,1
一捏,4
一换,1
一掀,2
一掇,1
一掉,1
一掌,11
一排,4
一掠,2
一探,3
一掣,2
一接,1
一推,9
一掩,2
一掷,4
一提,11
一揩,1
一搅,8
一搜,2
一搠,7
一搪,1
一搭,4
一摇,4
一摸,7
一撇,1
一撒,2
一撞,1
一撩,1
一撮,2
