word_segment,times,co
一下,44,12.391916225844758
一串,9,166.16433121019108
一丸,8,166.16433121019108
一乐,5,33.23286624203821
一五,8,23.73776160145587
一些,15,3.4617569002123143
一伸,6,49.84929936305733
一倍,5,166.16433121019108
一傍,15,55.38811040339703
一共,17,80.70838944494996
一刻,13,19.637602779386217
一剂,9,57.51842234198922
一动,23,27.694055201698514
一匾,6,90.63508975101331
一叠,14,166.16433121019108
一吃,6,1.0246515799189584
一吊,14,166.16433121019108
一吹,5,166.16433121019108
一呆,6,9.871148388724222
一响,7,68.4206069689022
一地,10,7.320014590757316
一坐,28,10.362140921793653
一坛,9,166.16433121019108
一套,22,107.51809666541776
一女,9,4.411442421509498
一定,71,53.14264646812418
一尝,7,19.7144121774803
一屋,6,2.7694055201698515
一岁,5,39.56293600242645
一床,5,29.672202001819837
一开,6,6.350229218223863
一想,116,18.270201346333806
一房,8,1.8749148796636512
一扬,5,83.08216560509554
一扭,7,166.16433121019108
一找,6,3.312245804854307
一推,10,55.38811040339703
一掷,8,60.42339316734221
一搜,5,166.16433121019108
一摔,5,166.16433121019108
一摸,12,76.69122978931897
一撂,6,166.16433121019108
一撒,6,55.38811040339703
一支,18,71.2132848043676
一散,6,8.98185574109141
一料,5,15.97733953944145
一斤,6,166.16433121019108
一新,5,7.287909263604872
一无,15,11.53918966737438
一早,69,43.429313839027216
一架,8,41.54108280254777
一柄,5,166.16433121019108
一查,9,34.77858095097022
一根,32,93.28523857414237
一案,5,37.764620729588884
一桌,20,53.60139716457777
一桩,5,166.16433121019108
一棵,5,166.16433121019108
一概,76,135.79020615026369
一歇,12,16.898067580697397
一歪,5,46.15675866949752
一流,5,28.64902262244674
一溜,23,136.49212920837124
一照,12,13.847027600849257
一理,10,15.82517440097058
一男,5,11.868880800727934
一病,10,4.830358465412531
一的,34,0.5501594372525559
一皱,5,166.16433121019108
一盆,14,54.10001481262035
一盒,5,20.26394283051111
一眼,17,8.612175702967221
一瞧,67,14.687348537048551
一碗,42,71.94744237967036
一碟,9,166.16433121019108
一社,10,33.911088002079815
一祭,5,166.16433121019108
一种,37,48.410080746276144
一笔,6,27.694055201698514
一答,5,4.858606175736582
一算,7,5.6463607692783375
一箱,7,55.38811040339703
一红,9,5.418402104680144
一经,7,9.016669135436725
一缕,9,26.704981801637853
一股,18,130.04165051232346
一脸,11,6.281125922034715
一腔,9,166.16433121019108
一觉,8,8.256612730941171
一请,5,3.270951401775415
一贴,17,72.43060591213458
一走,12,4.382355987961083
一趟,21,166.16433121019108
一跤,6,166.16433121019108
一跺,5,83.08216560509554
一转,8,28.898144558294103
一辈,64,138.11061295392506
一迳,67,154.6251415428167
一钟,26,31.306323271485276
一闹,7,3.657705403997917
一项,13,77.14772520473157
丁忧,5,52175.6
七言,11,2393.376146788991
万万,7,1863.4142857142858
万别,11,84.75318231489412
万的,5,2.5922878646053804
万福,6,665.5051020408164
万谢,8,495.2596108210726
万银,12,183.06157534647096
三两,11,17.731450815620367
三丫,8,7.166978021978022
三二,10,9.449362503622138
三则,10,465.85357142857146
三口,5,21.36942988204456
三句,6,30.21752895752896
三天,22,37.4726821624445
三妹,21,18.16699164345404
三姐,61,21.254351426434447
三姑,50,40.9361662063771
三姨,7,8.203710691823899
三张,10,182.687675070028
三春,8,9.213420448525516
三杯,7,95.9110294117647
三样,5,8.274486171022582
三爷,13,7.274590304590305
三的,5,0.4536503763059416
三钱,5,13.19698502630514
三门,8,14.643727196182992
三首,8,135.52103896103895
上上,19,6.949606860039931
上个,6,2.998770044255417
上些,7,3.3284959171770194
上他,20,2.4118321948044623
上你,24,3.194646159121245
上供,6,171.1797900262467
上倒,10,3.8904497733237893
上做,5,5.763629293813021
上几,13,11.126686351706036
上凡,5,51.872663644317186
上凤,6,1.5306687632749334
上千,6,43.70547830457363
上半,8,22.08771484209635
上司,12,67.34942558409708
上吃,10,3.5185979450410425
上呢,9,2.403460390384119
上夜,60,225.73159124340228
上头,103,15.912922719046401
上好,30,6.161240192906301
上学,37,98.96331610892389
上宝,24,1.8936690300207057
上家,8,1.8102291080105404
