word_segment,times
一三,1
一与,1
一且,1
一东,1
一丸,8
一乍,2
一九,1
一也,2
一乱,1
一亩,1
一享,1
一今,1
一仰,4
一休,1
一众,1
一传,2
一伤,2
一伸,6
一佳,1
一侍,1
一信,1
一倍,5
一偈,4
一傍,15
一先,3
一光,1
一党,1
一共,17
一其,1
一养,1
一净,2
一凑,2
一几,2
一刻,13
一剂,9
一办,4
一动,23
一势,1
一化,1
一匣,1
一卖,1
一卦,2
一却,1
一厅,1
一受,1
一叠,14
一古,2
一叫,3
一右,1
一司,1
一吃,6
一吊,14
一后,1
一吵,2
一咏,1
一咽,3
一品,1
一唱,1
一商,1
一啼,1
一喊,2
一嘟,3
一嘱,1
一嘴,2
一嚷,3
一囊,1
一围,1
一土,1
一坛,9
一垂,1
一埋,1
一墙,1
一壳,2
一夏,1
一外,1
一多,1
一太,3
一奏,3
一女,9
一如,1
一妥,1
一娘,1
一娶,1
一婆,1
一婢,1
一媳,1
一嫁,2
一孙,1
一孝,1
一季,1
一宅,1
一宝,3
一宽,1
一寻,1
一射,2
一少,1
一尘,1
一局,2
一屁,1
一屉,1
一屋,6
一岁,5
一州,1
一左,1
一巴,2
一幌,1
一幕,1
一平,1
一庄,1
一庭,2
一庶,1
一律,3
一得,2
一忙,1
一急,3
一息,4
一恶,1
一悟,1
一悲,1
一情,1
一意,3
一戈,1
一戏,2
一或,1
一扎,1
一扬,5
一找,6
一技,2
一抄,2
一折,1
一抬,4
一抹,2
一抿,1
一拉,4
一拌,1
一拚,1
一拟,1
一拢,1
一拧,1
一挂,1
一挤,2
一挪,1
一挽,3
一捞,1
一损,1
一捶,1
一捻,1
一掂,1
一掖,1
一揉,1
一揭,1
一摆,1
一摔,5
一撂,6
一操,1
一收,2
一改,4
一放,3
一故,1
一教,1
一散,6
一数,3
一料,5
一斝,1
一断,1
一新,5
一族,3
一无,15
一明,2
一昼,1
一晕,1
一景,1
一暖,2
一暗,1
一木,1
一末,1
一杌,1
一李,1
一松,1
一极,1
一林,1
一果,2
一格,1
一栽,2
一档,1
一梗,1
一梳,2
一椅,2
一榻,1
一槅,2
一模,3
一横,2
一款,3
一歌,1
一歪,5
一比,4
一毡,1
一求,2
一江,1
一池,2
一没,1
一治,1
一沾,1
一法,1
一泻,1
一洞,1
一海,2
一消,1
一淫,1
一添,1
一渥,1
一游,3
一湾,1
一源,1
一滑,1
一满,1
一滩,1
一漱,2
一激,3
一炬,1
一炸,1
一烦,1
